Step,Setup Time,Solve Time,Time Per Iteration,Total Time,Newton Cycles,Newton Times
25,0.0024763,3.95,0.17173913043478262,2.968,8,0.0|0.0|0.12|1.66|0.0|0.16|0.01|0.23|0.0|0.14|0.19|0.0|0.15|0.2|0.0|0.15|0.2|0.0|0.15|0.2|0.0|0.17|0.22
26,0.0018869,3.5200000000000005,0.17600000000000002,2.734,7,0.0|0.0|0.12|1.66|0.0|0.16|0.0|0.22|0.0|0.16|0.22|0.0|0.15|0.2|0.0|0.14|0.2|0.0|0.12|0.17
27,0.0027161999999999998,3.5000000000000004,0.17500000000000002,2.717,7,0.0|0.0|0.11|1.65|0.0|0.16|0.01|0.22|0.0|0.16|0.21|0.0|0.15|0.2|0.0|0.14|0.2|0.0|0.12|0.17
28,0.0013531,3.5200000000000005,0.18526315789473688,2.723,7,0.0|0.0|0.11|1.66|0.0|0.15|0.21|0.0|0.16|0.21|0.0|0.14|0.2|0.0|0.14|0.19|0.0|0.15|0.2
29,0.0033480000000000003,3.5800000000000005,0.18842105263157896,2.759,7,0.0|0.0|0.12|1.66|0.0|0.14|0.2|0.0|0.16|0.21|0.0|0.16|0.22|0.0|0.15|0.2|0.0|0.15|0.21
30,0.0017985999999999998,3.5100000000000002,0.18473684210526317,2.736,7,0.0|0.0|0.12|1.65|0.0|0.14|0.19|0.0|0.15|0.21|0.0|0.15|0.2|0.0|0.14|0.2|0.0|0.15|0.21
31,0.00027150000000000004,3.6500000000000004,0.19210526315789475,2.805,7,0.0|0.0|0.11|1.66|0.0|0.14|0.19|0.0|0.14|0.19|0.0|0.16|0.24|0.0|0.19|0.26|0.0|0.16|0.21
32,0.00024930000000000004,3.4600000000000004,0.18210526315789477,2.692,7,0.0|0.0|0.11|1.66|0.0|0.13|0.19|0.0|0.14|0.19|0.0|0.15|0.2|0.0|0.15|0.2|0.0|0.14|0.2
33,0.00022610000000000002,3.4600000000000004,0.18210526315789477,2.704,7,0.0|0.0|0.11|1.67|0.0|0.14|0.19|0.0|0.14|0.19|0.0|0.15|0.2|0.0|0.14|0.19|0.0|0.14|0.2
34,0.0002256,3.46,0.18210526315789474,2.695,7,0.0|0.0|0.11|1.66|0.0|0.13|0.19|0.0|0.13|0.19|0.0|0.15|0.21|0.0|0.14|0.2|0.0|0.15|0.2
35,0.0002497,3.7900000000000005,0.19947368421052633,2.895,7,0.0|0.0|0.11|1.65|0.0|0.14|0.19|0.0|0.14|0.19|0.0|0.22|0.3|0.0|0.22|0.29|0.0|0.14|0.2
36,0.000234,3.3800000000000003,0.17789473684210527,2.656,7,0.0|0.0|0.11|1.65|0.0|0.14|0.19|0.0|0.13|0.18|0.0|0.12|0.18|0.0|0.14|0.19|0.0|0.15|0.2
37,0.0002397,3.41,0.1794736842105263,2.67,7,0.0|0.0|0.11|1.66|0.0|0.13|0.19|0.0|0.13|0.18|0.0|0.13|0.18|0.0|0.14|0.2|0.0|0.15|0.21
38,0.0008208000000000001,3.3300000000000005,0.17526315789473687,2.628,7,0.0|0.0|0.12|1.66|0.0|0.14|0.19|0.0|0.12|0.18|0.0|0.12|0.17|0.0|0.12|0.17|0.0|0.14|0.2
39,0.0007476999999999999,3.3800000000000003,0.17789473684210527,2.645,7,0.0|0.0|0.11|1.65|0.0|0.14|0.19|0.0|0.12|0.18|0.0|0.12|0.18|0.0|0.14|0.19|0.0|0.15|0.21
40,0.0029824,3.46,0.18210526315789474,2.743,7,0.0|0.0|0.11|1.66|0.0|0.14|0.2|0.0|0.13|0.19|0.0|0.13|0.18|0.0|0.15|0.21|0.0|0.15|0.21
41,0.0030085,3.4499999999999997,0.18157894736842103,2.696,7,0.0|0.0|0.11|1.66|0.0|0.14|0.19|0.0|0.13|0.19|0.0|0.13|0.18|0.0|0.15|0.21|0.0|0.15|0.21
42,0.0018134,3.46,0.18210526315789474,2.698,7,0.0|0.0|0.11|1.65|0.0|0.14|0.19|0.0|0.13|0.18|0.0|0.15|0.2|0.0|0.15|0.2|0.0|0.15|0.21
43,0.001355,3.45,0.18157894736842106,2.707,7,0.0|0.0|0.11|1.68|0.0|0.14|0.19|0.0|0.13|0.18|0.0|0.13|0.19|0.0|0.14|0.2|0.0|0.15|0.21
44,0.0017362000000000002,3.45,0.18157894736842106,2.688,7,0.0|0.0|0.11|1.65|0.0|0.14|0.19|0.0|0.13|0.18|0.0|0.15|0.2|0.0|0.15|0.2|0.0|0.15|0.2
45,0.00028839999999999996,3.3200000000000003,0.17473684210526316,2.653,7,0.0|0.0|0.11|1.65|0.0|0.13|0.19|0.0|0.13|0.18|0.0|0.12|0.17|0.0|0.12|0.17|0.0|0.15|0.2
46,0.0007677000000000001,3.420000000000001,0.18000000000000005,2.683,7,0.0|0.0|0.11|1.66|0.0|0.14|0.2|0.0|0.13|0.18|0.0|0.12|0.18|0.0|0.14|0.2|0.0|0.15|0.21
47,0.0029683,3.3300000000000005,0.17526315789473687,2.633,7,0.0|0.0|0.11|1.67|0.0|0.14|0.19|0.0|0.13|0.18|0.0|0.12|0.18|0.0|0.13|0.18|0.0|0.12|0.18
48,0.0029381999999999998,3.4600000000000004,0.18210526315789477,2.705,7,0.0|0.0|0.11|1.67|0.0|0.14|0.2|0.0|0.13|0.18|0.0|0.14|0.19|0.0|0.15|0.2|0.0|0.15|0.2
49,0.0008213,3.4000000000000004,0.17894736842105266,2.668,7,0.0|0.0|0.11|1.67|0.0|0.14|0.19|0.0|0.12|0.18|0.0|0.12|0.18|0.0|0.14|0.19|0.0|0.15|0.21
50,0.0030219,3.430000000000001,0.18052631578947373,2.708,7,0.0|0.0|0.11|1.66|0.0|0.14|0.19|0.0|0.13|0.18|0.0|0.14|0.2|0.0|0.14|0.2|0.0|0.14|0.2
