Step,Setup Time,Solve Time,Time Per Iteration,Total Time,Newton Cycles,Newton Times
25,0.0026047,3.96,0.17217391304347826,2.99,8,0.0|0.0|0.12|1.66|0.0|0.16|0.02|0.24|0.0|0.13|0.19|0.0|0.15|0.21|0.0|0.15|0.21|0.0|0.14|0.2|0.0|0.16|0.22
26,0.0018706999999999997,3.610000000000001,0.18050000000000005,2.801,7,0.0|0.0|0.14|1.74|0.0|0.16|0.0|0.22|0.0|0.16|0.22|0.0|0.14|0.2|0.0|0.14|0.2|0.0|0.12|0.17
27,0.0023672,3.53,0.1765,2.731,7,0.0|0.0|0.11|1.65|0.0|0.16|0.01|0.23|0.0|0.15|0.21|0.0|0.15|0.21|0.0|0.15|0.21|0.0|0.12|0.17
28,0.0013825,3.5500000000000007,0.18684210526315792,2.754,7,0.0|0.0|0.11|1.67|0.0|0.16|0.21|0.0|0.16|0.22|0.0|0.14|0.2|0.0|0.14|0.19|0.0|0.15|0.2
29,0.0030185000000000003,3.5600000000000005,0.1873684210526316,2.752,7,0.0|0.0|0.12|1.66|0.0|0.14|0.2|0.0|0.16|0.22|0.0|0.15|0.21|0.0|0.14|0.2|0.0|0.15|0.21
30,0.0017763000000000002,3.5400000000000005,0.18631578947368424,2.755,7,0.0|0.0|0.12|1.66|0.0|0.15|0.2|0.0|0.15|0.2|0.0|0.16|0.21|0.0|0.14|0.2|0.0|0.15|0.2
31,0.0002448,3.46,0.18210526315789474,2.692,7,0.0|0.0|0.11|1.65|0.0|0.14|0.19|0.0|0.14|0.19|0.0|0.15|0.21|0.0|0.14|0.19|0.0|0.15|0.2
32,0.00023770000000000003,3.4700000000000006,0.18263157894736845,2.705,7,0.0|0.0|0.11|1.66|0.0|0.13|0.19|0.0|0.14|0.2|0.0|0.15|0.2|0.0|0.15|0.2|0.0|0.14|0.2
33,0.0002408,3.4800000000000004,0.18315789473684213,2.699,7,0.0|0.0|0.12|1.65|0.0|0.14|0.19|0.0|0.14|0.19|0.0|0.15|0.21|0.0|0.14|0.2|0.0|0.15|0.2
34,0.0002178,3.4300000000000006,0.18052631578947373,2.685,7,0.0|0.0|0.11|1.65|0.0|0.13|0.19|0.0|0.13|0.19|0.0|0.15|0.2|0.0|0.14|0.2|0.0|0.14|0.2
